rank,athlete_id,downhill_rating,average_speed
1,2510671,100.0,3.26539231578
2,2426313,98.7322516024,1.30549958438
3,5001009,98.5759208992,0.729245969214
4,1014624,98.078542594,2.17838164251
5,187235,97.4647716345,1.36839637734
6,1877550,97.055604811,1.223916589
7,257938,96.6492027149,0.724238769973
8,6122764,96.6330752207,1.76860171023
9,5696131,96.6034921936,1.07744669198
10,422108,95.9812612571,2.54147851162
11,231057,95.8641967883,1.23945841393
12,1146773,95.75251473,2.04059797619
13,1753866,95.5000023044,2.10719178774
14,4455879,95.4516602837,1.92485646898
15,710609,95.0762628066,1.49947368421
16,2699187,94.8448729377,4.05639776039
17,693776,94.6522731364,1.30554324998
18,2994394,94.594967833,1.84552266306
19,7014252,94.3267517755,2.03016100179
20,4704283,94.2931876989,2.50614487501
