rank,athlete_id,total_rating,average_speed
1,5001009,100.0,0.729245969214
2,231057,98.8005864368,1.23945841393
3,712881,97.7854942882,0.496858638743
4,2229452,97.5309240861,0.493538461538
5,257938,97.2761110926,0.724238769973
6,1784629,97.0426974978,0.654623287671
7,710609,96.5990016184,1.49947368421
8,1114243,96.5537804571,0.73658790827
9,1672866,96.3342193807,0.679743617388
10,2745754,95.9588731981,0.872913543228
11,200582,95.5663836337,0.79207135778
12,5720213,95.4980219129,0.75644480187
13,2194087,95.4680277004,0.982152230971
14,362846,95.1620671244,0.645900383142
15,5731110,94.8987342355,0.763459621137
16,1251542,94.2921258207,0.745714285714
17,1850879,94.2181886855,0.733413461538
18,854131,94.1663913471,0.936911942099
19,1754586,93.9082981268,1.10024081878
20,8521641,93.8791483657,0.965254377504
