rank,athlete_id,uphill_rating,average_speed
1,979905,100.0,11.4282964258
2,130036,65.8430188383,4.66827285996
3,9899762,62.4905885209,4.47171226875
4,8219583,62.4769023702,4.47171226875
5,7689,59.7391430061,13.3938862502
6,68120,58.5698446478,11.1679816879
7,162200,58.2171264851,13.3723311536
8,1308967,58.0687359201,5.18638976425
9,64448,57.8392802013,11.7911397616
10,2332822,57.4051753303,6.12253516323
11,130461,57.0079889011,11.0939537169
12,1668552,56.8204022188,13.2175122146
13,3431701,56.6245221178,7.76045463724
14,177344,56.5488429967,13.3901994554
15,209382,55.9264279465,5.74615384615
16,381804,55.8361917988,7.66185883997
17,13015,55.4240597982,7.60967876244
18,711027,54.8317569592,12.2891467462
19,6106950,54.7035774157,3.55119305857
20,4786502,54.6708257805,10.6342940579
