rank,athlete_id,downhill_rating
1,2861297,100.0
2,1224352,86.6694579321
3,1720376,85.7725958879
4,6094160,83.8929121855
5,302966,81.4388329213
6,1794874,77.861716941
7,1150579,76.9001150883
8,4524732,76.0929521828
9,308322,75.6129197041
10,3568362,75.0103274412
11,785467,74.5327600816
12,1091858,74.4354411382
13,6340648,73.7709165636
14,1913421,73.2928888962
15,1572289,73.074257945
16,1095499,72.8798559184
17,597745,72.8305345166
18,135624,71.7068663038
19,169105,71.28999299
20,1689380,71.0450845545
