rank,segment_id,downhill_rating
1,844654,100.0
2,866902,94.1566560738
3,6478150,89.425320061
4,6173812,89.181946877
5,1213534,88.0790903183
6,925819,87.700710943
7,8727433,87.0287663476
8,8239228,86.4800533661
9,841251,86.3940403918
10,747045,85.8075323798
11,6458467,84.3152713607
12,852755,84.1088516398
13,866323,81.7567242131
14,4367683,80.3427547415
15,2958707,78.9725983359
16,8727940,74.1347092119
17,3559004,71.3691015
18,8411114,70.2809162046
19,2687221,68.3742891368
20,2687319,68.0745990739
