rank,segment_id,total_rating,average_speed
1,844654,100.0,2.2070912272
2,2234914,98.6281795367,1.57294291506
3,8594904,97.7295792407,1.45044569537
4,666315,96.8017659229,2.39209314308
5,2350753,96.3614329624,1.47778640865
6,747045,96.2210177925,3.87576602777
7,7186902,95.7771393563,2.04774515608
8,6546684,95.5732864432,2.09808548227
9,806005,95.3507852831,1.63869083887
10,2339624,95.0484273241,1.54666767908
11,7615757,94.5276815938,1.54042563294
12,125,93.6349568092,2.12515641606
13,905184,93.6069870924,1.87570442453
14,8239228,92.9537544173,3.75778490108
15,814196,92.9360058082,1.69178059875
16,7531032,92.4238013306,2.21419028519
17,4178476,92.4098450006,2.15497066889
18,5831003,92.2577345376,2.22403373643
19,866902,92.2324226008,2.48203115923
20,2188435,92.2092018577,1.93106918121
