rank,segment_id,uphill_rating,average_speed
1,8594904,100.0,1.45044569537
2,2350753,97.2345831079,1.47778640865
3,7615757,97.0526320646,1.54042563294
4,2339624,96.7717239223,1.54666767908
5,806005,95.9434923596,1.63869083887
6,2234914,95.3076794827,1.57294291506
7,2188435,94.0727800041,1.93106918121
8,814196,93.6561161782,1.69178059875
9,1042514,90.4464511558,1.81234031232
10,3545515,90.3494291932,1.96844803339
11,7186902,90.000653539,2.04774515608
12,351211,89.8940729659,1.84831170696
13,6546684,88.9641847542,2.09808548227
14,774591,88.8659782952,1.90323034793
15,2350791,87.7602509039,1.84228743901
16,835833,86.6423445481,2.03644517999
17,125,86.3755918264,2.12515641606
18,4178476,85.5902569386,2.15497066889
19,905184,85.1945077381,1.87570442453
20,3200333,83.6979619569,1.9622557676
