rank,athlete_id,total_rating
1,3501331,100.0
2,1060922,96.0489398968
3,2478759,96.0058385607
4,1099150,93.9978405046
5,435614,93.7628409875
6,621804,92.7326280773
7,213682,92.5081896871
8,391481,91.1935291387
9,10180348,90.844771265
10,6116809,90.7119147901
11,2921719,90.6386463697
12,297956,90.3520013047
13,2979360,90.0603019173
14,222701,89.7942231309
15,197881,88.6476861938
16,810430,88.3737828349
17,163180,88.2428614435
18,1860685,88.0711781452
19,1093360,88.0433360492
20,352330,87.5507201254
